signature_id,Sub_Status,status_message_id,signature
4625,0x00000000,STATUS_SUCCESS,"The operation completed successfully"
,0x00000000,STATUS_WAIT_0,"The caller specified WaitAny for WaitType and one of the dispatcher objects in the Object array has been set to the signaled state"
,0x00000001,STATUS_WAIT_1,"The caller specified WaitAny for WaitType and one of the dispatcher objects in the Object array has been set to the signaled state"
,0x00000002,STATUS_WAIT_2,"The caller specified WaitAny for WaitType and one of the dispatcher objects in the Object array has been set to the signaled state"
,0x00000003,STATUS_WAIT_3,"The caller specified WaitAny for WaitType and one of the dispatcher objects in the Object array has been set to the signaled state"
,0x0000003F,STATUS_WAIT_63,"The caller specified WaitAny for WaitType and one of the dispatcher objects in the Object array has been set to the signaled state"
,0x00000080,STATUS_ABANDONED_WAIT_0,"The caller attempted to wait for a mutex that has been abandoned"
,0x000000BF,STATUS_ABANDONED_WAIT_63,"The caller attempted to wait for a mutex that has been abandoned"
,0x000000C0,STATUS_USER_APC,"A user-mode APC was delivered before the given Interval expired"
,0x000000FF,STATUS_ALREADY_COMPLETE,"The requested action was completed by an earlier operation"
,0x00000100,STATUS_KERNEL_APC,"STATUS_KERNEL_APC"
,0x00000101,STATUS_ALERTED,"The delay completed because the thread was alerted"
,0x00000102,STATUS_TIMEOUT,"The given Timeout interval expired"
,0x00000103,STATUS_PENDING,"The operation that was requested is pending completion"
,0x00000104,STATUS_REPARSE,"A reparse should be performed by the Object Manager since the name of the file resulted in a symbolic link"
,0x00000105,STATUS_MORE_ENTRIES,"Returned by enumeration APIs to indicate more information is available to successive calls"
,0x00000106,STATUS_NOT_ALL_ASSIGNED,"Indicates not all privileges or groups referenced are assigned to the caller. This allows, for example, all privileges to be disabled without having to know exactly which privileges are assigned"
,0x00000107,STATUS_SOME_NOT_MAPPED,"Some of the information to be translated has not been translated"
,0x00000108,STATUS_OPLOCK_BREAK_IN_PROGRESS,"An open/create operation completed while an oplock break is underway"
,0x00000109,STATUS_VOLUME_MOUNTED,"A new volume has been mounted by a file system"
,0x0000010A,STATUS_RXACT_COMMITTED,"This success level status indicates that the transaction state already exists for the registry sub-tree, but that a transaction commit was previously aborted. The commit has now been completed"
,0x0000010B,STATUS_NOTIFY_CLEANUP,"This indicates that a notify change request has been completed due to closing the handle which made the notify change request"
,0x0000010C,STATUS_NOTIFY_ENUM_DIR,"This indicates that a notify change request is being completed and that the information is not being returned in the caller's buffer. The caller now needs to enumerate the files to find the changes"
,0x0000010D,STATUS_NO_QUOTAS_FOR_ACCOUNT,"{No Quotas} No system quota limits are specifically set for this account"
